;Learn Tree;Learn VAR Model;Forecast
2;63;0;0
3;16;0;0
4;0;0;0
5;15;0;0
6;15;0;0
7;16;0;0
8;31;0;0
9;15;0;0
10;32;0;0
11;31;0;0
12;31;0;0
13;0;0;0
14;0;0;0
15;0;0;0
16;0;0;0
17;0;0;0
18;15;0;0
19;16;0;0
20;16;0;0
21;0;0;0
22;16;0;0
23;0;0;0
24;15;0;0
25;16;0;0
26;0;0;0
27;0;0;0
28;15;0;0
29;0;0;0
30;16;0;0
31;15;0;0
32;0;0;0
33;0;0;0
34;16;0;0
35;0;0;0
36;0;0;0
37;15;0;0
38;0;0;0
39;15;0;0
40;16;0;0
41;0;0;0
42;0;0;0
43;0;0;0
44;0;0;0
45;0;0;0
46;0;0;0
47;0;0;0
48;15;0;0
49;0;61047;32
50;15;56876;0
51;0;56110;16
52;16;55204;0
53;0;55938;16
54;0;55876;0
55;0;57235;16
56;0;59735;0
57;0;49610;15
58;0;57407;0
59;0;37532;0
60;0;37110;0
61;0;37219;0
62;0;36673;0
63;0;48126;0
64;0;46657;16
65;0;46266;15
66;0;46891;0
67;0;47313;0
68;0;18016;0
69;0;28735;0
70;0;31183;15
71;0;28844;0
72;0;47500;0
73;0;37594;0
74;0;29844;0
75;0;46454;16
76;0;48547;0
77;0;46235;0
78;0;46453;0
79;0;46047;15
80;0;29969;0
81;0;36829;0
82;0;37063;16
83;0;37281;15
84;0;37345;0
85;0;28516;15
86;0;36688;0
87;0;37375;0
88;0;38063;16
89;0;37282;0
90;0;47813;15
91;0;27516;0
92;0;37673;0
93;0;36766;0
94;0;46407;0
95;0;28688;0
96;0;37063;0
97;0;38266;0
98;0;46719;0
99;0;45782;0
100;0;46548;0
